source,post_id,comment_id,author_id,text,posted_at,collected_at,institution_id,department,lab_name,campus_id,campus_name_raw,campus_assignment_method,campus_assignment_confidence,researcher_name,source_url,likes_at_collection,comments_at_collection
rednote-synthetic,syn-0030,c-0030,auth-ucl-00,Very collaborative and friendly group culture overall. Communication about expectations is sometimes unclear.,2025-10-31T09:00:00,2026-02-01T12:00:00,ucl,Neuroscience,Cognitive Circuits Lab,ucl-queen-square,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0030,40,0
rednote-synthetic,syn-0030,c-0030,auth-ucl-00,Very collaborative and friendly group culture overall. Communication about expectations is sometimes unclear.,2025-10-31T09:00:00,2026-03-01T12:00:00,ucl,Neuroscience,Cognitive Circuits Lab,ucl-queen-square,,unspecified,,,https://example.invalid/synthetic/post/syn-0030,55,2
rednote-synthetic,syn-0031,c-0031,auth-ucl-01,"Well-funded lab with good equipment and plenty of resources. The work is interdisciplinary, spanning several departments.",2025-11-02T10:00:00,2026-02-01T12:00:00,ucl,Neuroscience,Cognitive Circuits Lab,,Queen Square,unspecified,,,https://example.invalid/synthetic/post/syn-0031,41,1
rednote-synthetic,syn-0032,c-0032,auth-ucl-02,There is real research freedom and flexible working arrangements. It can feel competitive in the run-up to paper deadlines.,2025-11-04T11:00:00,2026-02-01T12:00:00,ucl,Neuroscience,Cognitive Circuits Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0032,42,2
rednote-synthetic,syn-0033,,auth-ucl-00,导师很支持，实验室氛围友好。 组里很国际化，成员来自不同国家。,2025-11-06T12:00:00,2026-02-01T12:00:00,ucl,Neuroscience,Cognitive Circuits Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0033,43,3
rednote-synthetic,syn-0034,,auth-ucl-01,组里资源充足，设备很好，导师也很有帮助。 有时候沟通不太清楚，期望也不明确。,2025-11-08T13:00:00,2026-02-01T12:00:00,ucl,Neuroscience,Cognitive Circuits Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0034,44,4
rednote-synthetic,syn-0035,,auth-ucl-02,"The supervisor is supportive and gives helpful, constructive feedback. The group is quite international, with members from many countries.",2025-11-10T14:00:00,2026-02-01T12:00:00,ucl,Neuroscience,Cognitive Circuits Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0035,45,5
rednote-synthetic,syn-0036,,auth-ucl-00,Great mentorship here — my mentor is approachable and encouraging. There is noticeable pressure around deadlines and high expectations.,2025-11-12T15:00:00,2026-02-01T12:00:00,ucl,Neuroscience,Cognitive Circuits Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0036,46,0
rednote-synthetic,syn-0037,c-0037,auth-kcl-00,Very collaborative and friendly group culture overall. It is a fairly large group with many PhD students and postdocs.,2025-11-14T09:00:00,2026-02-01T12:00:00,kcl,Informatics,Distributed Systems Group,kcl-strand,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0037,47,1
rednote-synthetic,syn-0038,c-0038,auth-kcl-01,Well-funded lab with good equipment and plenty of resources. A fair amount of administrative overhead slows things down.,2025-11-16T10:00:00,2026-02-01T12:00:00,kcl,Informatics,Distributed Systems Group,,Waterloo,unspecified,,,https://example.invalid/synthetic/post/syn-0038,48,2
rednote-synthetic,syn-0039,c-0039,auth-kcl-02,There is real research freedom and flexible working arrangements. 研究偏跨学科合作。,2025-11-18T11:00:00,2026-02-01T12:00:00,kcl,Informatics,Distributed Systems Group,,,unspecified,,,https://example.invalid/synthetic/post/syn-0039,49,3
rednote-synthetic,syn-0040,,auth-kcl-00,导师很支持，实验室氛围友好。 压力有点大，工作量比较多。,2025-11-20T12:00:00,2026-02-01T12:00:00,kcl,Informatics,Distributed Systems Group,kcl-waterloo,,unspecified,,,https://example.invalid/synthetic/post/syn-0040,10,4
rednote-synthetic,syn-0041,c-0041,auth-kcl-00,"组里资源充足，设备很好，导师也很有帮助。 The work is interdisciplinary, spanning several departments.",2025-11-22T09:00:00,2026-02-01T12:00:00,kcl,Psychology,Affective Science Lab,kcl-denmark-hill,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0041,11,5
rednote-synthetic,syn-0042,c-0042,auth-kcl-01,"The supervisor is supportive and gives helpful, constructive feedback. The hours can be long and the workload is heavy at times.",2025-11-24T10:00:00,2026-02-01T12:00:00,kcl,Psychology,Affective Science Lab,,Denmark Hill,unspecified,,,https://example.invalid/synthetic/post/syn-0042,12,0
rednote-synthetic,syn-0043,c-0043,auth-qmu-00,Great mentorship here — my mentor is approachable and encouraging. 组里很国际化，成员来自不同国家。,2025-11-26T09:00:00,2026-02-01T12:00:00,qmul,Electronic Engineering and Computer Science,Networks Research Lab,qmul-mile-end,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0043,13,1
rednote-synthetic,syn-0043,c-0043,auth-qmu-00,Great mentorship here — my mentor is approachable and encouraging. 组里很国际化，成员来自不同国家。,2025-11-26T09:00:00,2026-03-01T12:00:00,qmul,Electronic Engineering and Computer Science,Networks Research Lab,qmul-mile-end,,unspecified,,,https://example.invalid/synthetic/post/syn-0043,28,3
rednote-synthetic,syn-0044,c-0044,auth-qmu-01,Very collaborative and friendly group culture overall. Communication about expectations is sometimes unclear.,2025-11-28T10:00:00,2026-02-01T12:00:00,qmul,Electronic Engineering and Computer Science,Networks Research Lab,,Mile End,unspecified,,,https://example.invalid/synthetic/post/syn-0044,14,2
rednote-synthetic,syn-0045,c-0045,auth-qmu-02,"Well-funded lab with good equipment and plenty of resources. The group is quite international, with members from many countries.",2025-11-30T11:00:00,2026-02-01T12:00:00,qmul,Electronic Engineering and Computer Science,Networks Research Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0045,15,3
rednote-synthetic,syn-0046,,auth-qmu-00,There is real research freedom and flexible working arrangements. It can feel competitive in the run-up to paper deadlines.,2025-12-02T12:00:00,2026-02-01T12:00:00,qmul,Electronic Engineering and Computer Science,Networks Research Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0046,16,4
rednote-synthetic,syn-0047,,auth-qmu-01,导师很支持，实验室氛围友好。 It is a fairly large group with many PhD students and postdocs.,2025-12-04T13:00:00,2026-02-01T12:00:00,qmul,Electronic Engineering and Computer Science,Networks Research Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0047,17,5
rednote-synthetic,syn-0048,c-0048,auth-qmu-00,组里资源充足，设备很好，导师也很有帮助。 有时候沟通不太清楚，期望也不明确。,2025-12-06T09:00:00,2026-02-01T12:00:00,qmul,Electronic Engineering and Computer Science,Cognitive Science Group,qmul-mile-end,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0048,18,0
rednote-synthetic,syn-0049,c-0049,auth-qmu-01,"The supervisor is supportive and gives helpful, constructive feedback. 研究偏跨学科合作。",2025-12-08T10:00:00,2026-02-01T12:00:00,qmul,Electronic Engineering and Computer Science,Cognitive Science Group,,Whitechapel,unspecified,,,https://example.invalid/synthetic/post/syn-0049,19,1
rednote-synthetic,syn-0050,c-0050,auth-qmu-00,Great mentorship here — my mentor is approachable and encouraging. There is noticeable pressure around deadlines and high expectations.,2025-12-10T11:00:00,2026-02-01T12:00:00,qmul,Electronic Engineering and Computer Science,Cognitive Science Group,,,unspecified,,,https://example.invalid/synthetic/post/syn-0050,20,2
rednote-synthetic,syn-0051,,auth-qmu-01,"Very collaborative and friendly group culture overall. The work is interdisciplinary, spanning several departments.",2025-12-12T12:00:00,2026-02-01T12:00:00,qmul,Electronic Engineering and Computer Science,Cognitive Science Group,qmul-whitechapel,,unspecified,,,https://example.invalid/synthetic/post/syn-0051,21,3
rednote-synthetic,syn-0052,c-0052,auth-lsh-00,Well-funded lab with good equipment and plenty of resources. A fair amount of administrative overhead slows things down.,2025-12-14T09:00:00,2026-02-01T12:00:00,lshtm,Infectious Disease Epidemiology,Epidemic Modelling Group,lshtm-keppel-street,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0052,22,4
rednote-synthetic,syn-0052,c-0052,auth-lsh-00,Well-funded lab with good equipment and plenty of resources. A fair amount of administrative overhead slows things down.,2025-12-14T09:00:00,2026-03-01T12:00:00,lshtm,Infectious Disease Epidemiology,Epidemic Modelling Group,lshtm-keppel-street,,unspecified,,,https://example.invalid/synthetic/post/syn-0052,37,6
rednote-synthetic,syn-0053,c-0053,auth-lsh-01,There is real research freedom and flexible working arrangements. 组里很国际化，成员来自不同国家。,2025-12-16T10:00:00,2026-02-01T12:00:00,lshtm,Infectious Disease Epidemiology,Epidemic Modelling Group,,Tavistock Place,unspecified,,,https://example.invalid/synthetic/post/syn-0053,23,5
rednote-synthetic,syn-0054,c-0054,auth-lsh-02,导师很支持，实验室氛围友好。 压力有点大，工作量比较多。,2025-12-18T11:00:00,2026-02-01T12:00:00,lshtm,Infectious Disease Epidemiology,Epidemic Modelling Group,,,unspecified,,,https://example.invalid/synthetic/post/syn-0054,24,0
rednote-synthetic,syn-0055,,auth-lsh-00,"组里资源充足，设备很好，导师也很有帮助。 The group is quite international, with members from many countries.",2025-12-20T12:00:00,2026-02-01T12:00:00,lshtm,Infectious Disease Epidemiology,Epidemic Modelling Group,lshtm-tavistock-place,,unspecified,,,https://example.invalid/synthetic/post/syn-0055,25,1
rednote-synthetic,syn-0056,,auth-lsh-01,"The supervisor is supportive and gives helpful, constructive feedback. The hours can be long and the workload is heavy at times.",2025-12-22T13:00:00,2026-02-01T12:00:00,lshtm,Infectious Disease Epidemiology,Epidemic Modelling Group,lshtm-keppel-street,,unspecified,,,https://example.invalid/synthetic/post/syn-0056,26,2
rednote-synthetic,syn-0057,,auth-lsh-02,Great mentorship here — my mentor is approachable and encouraging. It is a fairly large group with many PhD students and postdocs.,2025-12-24T14:00:00,2026-02-01T12:00:00,lshtm,Infectious Disease Epidemiology,Epidemic Modelling Group,lshtm-tavistock-place,,unspecified,,,https://example.invalid/synthetic/post/syn-0057,27,3
rednote-synthetic,syn-0058,c-0058,auth-lsh-w00,Honestly the PI is an idiot and completely incompetent.,2025-12-26T09:00:00,2026-02-01T12:00:00,lshtm,Infectious Disease Epidemiology,Epidemic Modelling Group,,,unspecified,,,https://example.invalid/synthetic/comment/syn-0058,11,1
rednote-synthetic,syn-0059,c-0059,auth-lsh-00,Well-funded lab with good equipment and plenty of resources. 研究偏跨学科合作。,2025-12-28T09:00:00,2026-02-01T12:00:00,lshtm,Global Health,Health Systems Lab,lshtm-tavistock-place,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0059,29,5
rednote-synthetic,syn-0060,c-0060,auth-lsh-01,There is real research freedom and flexible working arrangements. It can feel competitive in the run-up to paper deadlines.,2025-12-30T10:00:00,2026-02-01T12:00:00,lshtm,Global Health,Health Systems Lab,,Tavistock Place,unspecified,,,https://example.invalid/synthetic/post/syn-0060,30,0
rednote-synthetic,syn-0061,c-0061,auth-lsh-00,"导师很支持，实验室氛围友好。 The work is interdisciplinary, spanning several departments.",2026-01-01T11:00:00,2026-02-01T12:00:00,lshtm,Global Health,Health Systems Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0061,31,1
rednote-synthetic,syn-0062,,auth-lsh-01,组里资源充足，设备很好，导师也很有帮助。 有时候沟通不太清楚，期望也不明确。,2026-01-03T12:00:00,2026-02-01T12:00:00,lshtm,Global Health,Health Systems Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0062,32,2
rednote-synthetic,syn-0063,,auth-lsh-00,"The supervisor is supportive and gives helpful, constructive feedback. 组里很国际化，成员来自不同国家。",2026-01-05T13:00:00,2026-02-01T12:00:00,lshtm,Global Health,Health Systems Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0063,33,3
rednote-synthetic,syn-0064,c-0064,auth-cri-00,Great mentorship here — my mentor is approachable and encouraging. There is noticeable pressure around deadlines and high expectations.,2026-01-07T09:00:00,2026-02-01T12:00:00,crick,Structural Biology,Molecular Machines Lab,crick-st-pancras,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0064,34,4
rednote-synthetic,syn-0065,c-0065,auth-cri-00,"Very collaborative and friendly group culture overall. The group is quite international, with members from many countries.",2026-01-09T09:00:00,2026-02-01T12:00:00,crick,Computational Biology,Genome Analytics Lab,crick-st-pancras,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0065,35,5
rednote-synthetic,syn-0065,c-0065,auth-cri-00,"Very collaborative and friendly group culture overall. The group is quite international, with members from many countries.",2026-01-09T09:00:00,2026-03-01T12:00:00,crick,Computational Biology,Genome Analytics Lab,crick-st-pancras,,unspecified,,,https://example.invalid/synthetic/post/syn-0065,50,7
rednote-synthetic,syn-0066,c-0066,auth-cri-01,Well-funded lab with good equipment and plenty of resources. A fair amount of administrative overhead slows things down.,2026-01-11T10:00:00,2026-02-01T12:00:00,crick,Computational Biology,Genome Analytics Lab,,St Pancras,unspecified,,,https://example.invalid/synthetic/post/syn-0066,36,0
rednote-synthetic,syn-0066,c-0066,auth-cri-01,Well-funded lab with good equipment and plenty of resources. A fair amount of administrative overhead slows things down.,2026-01-11T10:00:00,2026-03-01T12:00:00,crick,Computational Biology,Genome Analytics Lab,,St Pancras,unspecified,,,https://example.invalid/synthetic/post/syn-0066,51,2
rednote-synthetic,syn-0067,c-0067,auth-cri-02,There is real research freedom and flexible working arrangements. It is a fairly large group with many PhD students and postdocs.,2026-01-13T11:00:00,2026-02-01T12:00:00,crick,Computational Biology,Genome Analytics Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0067,37,1
rednote-synthetic,syn-0068,,auth-cri-03,导师很支持，实验室氛围友好。 压力有点大，工作量比较多。,2026-01-15T12:00:00,2026-02-01T12:00:00,crick,Computational Biology,Genome Analytics Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0068,38,2
rednote-synthetic,syn-0069,,auth-cri-00,组里资源充足，设备很好，导师也很有帮助。 研究偏跨学科合作。,2026-01-17T13:00:00,2026-02-01T12:00:00,crick,Computational Biology,Genome Analytics Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0069,39,3
rednote-synthetic,syn-0070,,auth-cri-01,"The supervisor is supportive and gives helpful, constructive feedback. The hours can be long and the workload is heavy at times.",2026-01-19T14:00:00,2026-02-01T12:00:00,crick,Computational Biology,Genome Analytics Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0070,40,4
rednote-synthetic,syn-0071,,auth-cri-02,"Great mentorship here — my mentor is approachable and encouraging. The work is interdisciplinary, spanning several departments.",2026-01-21T15:00:00,2026-02-01T12:00:00,crick,Computational Biology,Genome Analytics Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0071,41,5
